Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10uF,
"C3, C4, C5",0603,3,100nF,
C6,0603,1,4.7uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D9",D_MiniMELF,84,D,C435829
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"R1, R2",0603,2,5.1k,
S1,STAB_MX_P_6.25u,1,MX_stab,
"S2, S3",STAB_MX_P_2.25u,2,MX_stab,
S4,STAB_MX_P_2u,1,MX_stab,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW46, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW70, SW71, SW73, SW74, SW78, SW79, SW8, SW80, SW81, SW82, SW83, SW84, SW9",SW_MX_HS_CPG151101S11_1u,77,SW_Push,
"SW32, SW45",SW_MX_HS_CPG151101S11_1.5u,2,SW_Push,
"SW47, SW72",SW_MX_HS_CPG151101S11_1.75u,2,SW_Push,
"SW75, SW76, SW77",SW_MX_HS_CPG151101S11_1.25u,3,SW_Push,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm_ThermalVias,1,STM32L432KBUx,
U2,SOT-23-3,1,XC6206PxxxMR,
U3,SOT-23-6,1,SRV05-4,C2836319
