Designator,Mid X,Mid Y,Rotation,Layer
C1,55.675,-64.0,180.0,bottom
C2,54.725,-69.675,180.0,bottom
C3,62.68125,-92.0145,180.0,bottom
C4,55.28125,-85.0145,0.0,bottom
C5,58.750371,-93.75,270.0,bottom
C6,55.28125,-83.554,0.0,bottom
D1,70.246875,-42.8625,90.0,bottom
D10,241.696875,-42.8625,90.0,bottom
D11,260.746875,-42.8625,90.0,bottom
D12,279.796875,-42.8625,90.0,bottom
D13,298.846875,-42.8625,90.0,bottom
D14,317.896875,-42.8625,90.0,bottom
D15,336.946875,-42.8625,90.0,bottom
D16,355.996875,-42.8625,90.0,bottom
D17,70.246875,-61.9125,90.0,bottom
D18,89.296875,-61.9125,90.0,bottom
D19,108.346875,-61.9125,90.0,bottom
D2,89.296875,-42.8625,90.0,bottom
D20,127.396875,-61.9125,90.0,bottom
D21,146.446875,-61.9125,90.0,bottom
D22,165.496875,-61.9125,90.0,bottom
D23,184.546875,-61.9125,90.0,bottom
D24,203.596875,-61.9125,90.0,bottom
D25,222.646875,-61.9125,90.0,bottom
D26,241.696875,-61.9125,90.0,bottom
D27,260.746875,-61.9125,90.0,bottom
D28,279.796875,-61.9125,90.0,bottom
D29,298.846875,-61.9125,90.0,bottom
D3,108.346875,-42.8625,90.0,bottom
D30,327.421875,-61.9125,90.0,bottom
D31,355.996875,-61.9125,90.0,bottom
D32,75.009375,-80.9625,90.0,bottom
D33,98.821875,-80.9625,90.0,bottom
D34,117.871875,-80.9625,90.0,bottom
D35,136.921875,-80.9625,90.0,bottom
D36,155.971875,-80.9625,90.0,bottom
D37,175.021875,-80.9625,90.0,bottom
D38,194.071875,-80.9625,90.0,bottom
D39,213.121875,-80.9625,90.0,bottom
D4,127.396875,-42.8625,90.0,bottom
D40,232.171875,-80.9625,90.0,bottom
D41,251.221875,-80.9625,90.0,bottom
D42,270.271875,-80.9625,90.0,bottom
D43,289.321875,-80.9625,90.0,bottom
D44,308.371875,-80.9625,90.0,bottom
D45,332.184375,-80.9625,90.0,bottom
D46,355.996875,-80.9625,90.0,bottom
D47,77.390625,-100.0125,90.0,bottom
D48,103.584375,-100.0125,90.0,bottom
D49,122.634375,-100.0125,90.0,bottom
D5,146.446875,-42.8625,90.0,bottom
D50,141.684375,-100.0125,90.0,bottom
D51,160.734375,-100.0125,90.0,bottom
D52,179.784375,-100.0125,90.0,bottom
D53,198.834375,-100.0125,90.0,bottom
D54,217.884375,-100.0125,90.0,bottom
D55,236.934375,-100.0125,90.0,bottom
D56,255.984375,-100.0125,90.0,bottom
D57,275.034375,-100.0125,90.0,bottom
D58,294.084375,-100.0125,90.0,bottom
D59,325.040625,-100.0125,90.0,bottom
D6,165.496875,-42.8625,90.0,bottom
D60,355.996875,-100.0125,90.0,bottom
D61,82.153125,-119.0625,90.0,bottom
D62,113.109375,-119.0625,90.0,bottom
D63,132.159375,-119.0625,90.0,bottom
D64,151.209375,-119.0625,90.0,bottom
D65,170.259375,-119.0625,90.0,bottom
D66,189.309375,-119.0625,90.0,bottom
D67,208.359375,-119.0625,90.0,bottom
D68,227.409375,-119.0625,90.0,bottom
D69,246.459375,-119.0625,90.0,bottom
D7,184.546875,-42.8625,90.0,bottom
D70,265.509375,-119.0625,90.0,bottom
D71,284.559375,-119.0625,90.0,bottom
D72,310.753125,-119.0625,90.0,bottom
D73,336.946875,-119.0625,90.0,bottom
D74,355.996875,-119.0625,90.0,bottom
D75,72.628125,-138.1125,90.0,bottom
D76,96.440625,-138.1125,90.0,bottom
D77,120.253125,-138.1125,90.0,bottom
D78,191.690625,-138.1125,90.0,bottom
D79,260.746875,-138.1125,90.0,bottom
D8,203.596875,-42.8625,90.0,bottom
D80,279.796875,-138.1125,90.0,bottom
D81,298.846875,-138.1125,90.0,bottom
D82,317.896875,-138.1125,90.0,bottom
D83,336.946875,-138.1125,90.0,bottom
D84,355.996875,-138.1125,90.0,bottom
D9,222.646875,-42.8625,90.0,bottom
H1,338.1375,-128.5875,0.0,top
H2,76.2,-128.5875,0.0,top
H3,90.4875,-52.3875,0.0,top
H4,338.1375,-52.3875,0.0,top
H5,138.1125,-71.4375,0.0,top
H6,271.4625,-90.4875,0.0,top
H7,223.8375,-52.3875,0.0,top
H8,190.5,-109.5375,0.0,top
J1,54.9125,-49.8625,90.0,bottom
R1,63.75,-53.0,180.0,bottom
R2,63.6,-47.6,180.0,bottom
S1,183.35625,-137.48055,180.0,top
S2,73.81875,-118.43055,180.0,top
S3,316.70625,-100.64445,0.0,top
S4,319.0875,-62.54445,0.0,top
SW1,61.9125,-42.8625,0.0,bottom
SW10,233.3625,-42.8625,0.0,bottom
SW11,252.4125,-42.8625,0.0,bottom
SW12,271.4625,-42.8625,0.0,bottom
SW13,290.5125,-42.8625,0.0,bottom
SW14,309.5625,-42.8625,0.0,bottom
SW15,328.6125,-42.8625,0.0,bottom
SW16,347.6625,-42.8625,0.0,bottom
SW17,61.9125,-61.9125,0.0,bottom
SW18,80.9625,-61.9125,0.0,bottom
SW19,100.0125,-61.9125,0.0,bottom
SW2,80.9625,-42.8625,0.0,bottom
SW20,119.0625,-61.9125,0.0,bottom
SW21,138.1125,-61.9125,0.0,bottom
SW22,157.1625,-61.9125,0.0,bottom
SW23,176.2125,-61.9125,0.0,bottom
SW24,195.2625,-61.9125,0.0,bottom
SW25,214.3125,-61.9125,0.0,bottom
SW26,233.3625,-61.9125,0.0,bottom
SW27,252.4125,-61.9125,0.0,bottom
SW28,271.4625,-61.9125,0.0,bottom
SW29,290.5125,-61.9125,0.0,bottom
SW3,100.0125,-42.8625,0.0,bottom
SW30,319.0875,-61.9125,0.0,bottom
SW31,347.6625,-61.9125,0.0,bottom
SW32,66.675,-80.9625,0.0,bottom
SW33,90.4875,-80.9625,0.0,bottom
SW34,109.5375,-80.9625,0.0,bottom
SW35,128.5875,-80.9625,0.0,bottom
SW36,147.6375,-80.9625,0.0,bottom
SW37,166.6875,-80.9625,0.0,bottom
SW38,185.7375,-80.9625,0.0,bottom
SW39,204.7875,-80.9625,0.0,bottom
SW4,119.0625,-42.8625,0.0,bottom
